Date : 2024-03-29 21:36:53
Directory : /home/vansh/Documents/flutter-projects/vts-bangalore/vts
Total : 62 files,  2400 codes, 342 comments, 331 blanks, all 3073 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         16 |        922 |         52 |         52 |      1,026 |
| C++        |         16 |        539 |        127 |        188 |        854 |
| XML        |         10 |        469 |         53 |         12 |        534 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         89 |          5 |         20 |        114 |
| Swift      |          6 |         52 |          7 |         20 |         79 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| YAML       |          2 |         22 |         82 |         18 |        122 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         62 |      2,400 |        342 |        331 |      3,073 |
| . (Files)                                                                                                              |          3 |         32 |         82 |         25 |        139 |
| android                                                                                                                |         12 |        162 |         56 |         31 |        249 |
| android (Files)                                                                                                        |          3 |         41 |          0 |          9 |         50 |
| android/app                                                                                                            |          8 |        116 |         56 |         21 |        193 |
| android/app (Files)                                                                                                    |          1 |         51 |          5 |         12 |         68 |
| android/app/src                                                                                                        |          7 |         65 |         51 |          9 |        125 |
| android/app/src/debug                                                                                                  |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                   |          5 |         59 |         43 |          7 |        109 |
| android/app/src/main (Files)                                                                                           |          1 |         33 |         11 |          1 |         45 |
| android/app/src/main/res                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                    |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios/Runner (Files)                                                                                                     |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                          |          1 |        122 |          0 |          1 |        123 |
